ST_ID,LATITUDE,LONGITUDE
689,61.2570,46.6294
692,61.2113,46.6251
693,61.2115,46.6532
694,61.2398,46.7629
695,61.2573,46.6816
696,61.2764,46.7049
697,61.2573,46.6816
698,61.2573,46.6816
699,61.2610,47.1039
700,61.2739,47.2514
702,61.3120,47.5305
703,61.3898,47.7162
704,61.4713,47.9507
706,61.5597,48.2007
707,61.7556,48.5468
708,61.7993,48.6766
709,61.8962,49.0718
710,62.0275,49.3144
713,62.0908,49.4216
715,62.2145,49.7935
716,62.3599,50.0745
717,62.3736,50.0725
719,62.5559,49.7370
721,62.8453,49.3031
722,62.9345,49.1793
723,63.0586,48.8632
724,63.2363,48.5775
725,63.3025,48.5296
726,63.4446,48.6670
727,63.4606,47.9684
728,61.7301,50.7747
729,61.6580,50.7911
730,61.7302,50.7747
731,61.8014,50.7324
732,61.8489,50.6823
733,61.9559,50.6159
734,62.2076,50.4331
735,62.4344,50.2348
736,62.5522,50.7361
738,62.5998,50.8824
739,62.7034,51.2747
740,62.7560,51.4837
742,62.8623,51.8783
744,62.9820,52.1720
745,63.0259,52.2757
746,63.0554,52.3556
748,63.2131,52.6888
749,63.2401,52.8909
750,63.2742,53.0712
752,63.4288,53.6077
753,63.5568,53.7383
754,63.5733,53.7770
756,63.6002,53.8997
757,63.5765,53.9381
761,47.9527,27.8368
762,48.0338,27.8135
764,48.1703,27.6451
765,48.2398,27.6089
767,48.2426,27.5039
772,48.1332,27.3729
773,48.4138,27.6020
778,48.4530,27.7328
780,48.2530,26.5777
781,48.2712,26.6652
783,48.2971,26.7826
784,48.3553,26.7879
786,48.4660,27.1385
787,48.4959,27.2532
788,48.4505,27.7361
789,48.4435,27.3735
790,47.8116,28.0730
793,47.8754,28.2344
794,47.8885,28.3048
796,47.8689,28.3789
799,47.8342,28.4445
801,47.9098,28.4937
803,47.8606,28.6076
805,47.8175,28.7990
807,47.8097,28.8723
808,47.7938,28.9591
810,47.7579,28.9947
811,47.7102,29.1057
813,47.7592,29.2173
815,45.9237,28.1905
816,46.1562,28.1564
819,46.2724,28.2039
820,46.2732,28.1886
821,46.2818,28.2278
824,46.4207,28.4199
829,46.3643,28.6523
833,46.0860,28.1646
834,45.4711,28.2068
838,45.4711,28.2068
839,45.4711,28.2068
840,45.4715,28.2035
841,45.4580,28.2659
842,45.4789,28.4133
845,45.5446,28.4285
848,45.6793,28.4778
849,45.7619,28.5273
851,45.7353,28.6025
852,45.7701,28.5914
853,45.9284,28.6487
856,46.0817,28.8380
862,46.3556,28.9012
863,46.3272,28.9842
864,46.3807,28.9779
866,46.4482,28.9615
869,46.5320,28.9210
875,46.6719,29.0975
880,46.3235,28.9811
881,46.6111,29.3118
883,46.6750,29.4488
885,46.7413,29.5191
886,46.5543,30.7543
898,59.3875,24.7230
904,59.2012,24.7132
905,59.1703,24.7436
908,58.9953,24.8343
910,58.8671,25.0087
917,58.8058,25.4283
920,58.6322,25.5656
923,58.3570,25.5729
924,58.5653,24.8113
927,58.3558,24.5776
944,57.3335,24.4624
946,56.9083,24.2085
952,56.9190,24.1860
954,56.9296,24.0864
955,57.0166,24.1306
956,56.9768,24.0662
957,56.9768,24.0662
958,56.8447,24.0483
961,56.8444,24.0483
963,56.4041,23.6723
964,56.7890,23.9467
966,56.7039,23.8262
969,56.4044,23.6721
979,56.5373,25.7193
983,56.5076,25.2532
986,56.5637,24.9230
990,56.5908,24.5468
992,56.5906,24.4020
993,56.6275,24.2422
994,56.6429,24.0785
996,56.5990,23.4794
1001,56.6269,23.2876
1003,56.6932,22.9850
1006,56.6965,22.5707
1007,56.6871,22.4623
1011,56.6828,22.0106
1014,56.6222,21.6899
1020,56.6518,25.4357
1021,56.6242,25.2857
1023,56.6446,25.1342
1026,56.6789,24.9757
1027,56.7218,24.8148
1032,55.5406,38.2946
1033,55.5156,38.3362
1034,55.4990,38.3629
1035,55.4724,38.4268
1037,55.4839,38.3988
1038,55.4449,38.4969
1039,55.4358,38.5249
